Economy,Country Code,Region,Income group (Country number),T1,T1_Q1,T1_Q2,T1_Q3,T1_Q4,T1_Q5,T1_Q6,T1_Q7,T1_Q8,T1_Q9,T1_Q10,T1_Q11,T2,T2_Q1,T2_Q2,T2_Q3,T2_Q4,T2_Q5,T3,T3_Q1,T3_Q2,T3_Q3,T3_Q4,T4,T4_Q1,T4_Q2,T4_Q3,T4_Q4,T4_Q5,T5,T5_Q1,T5_Q2,T5_Q3,T5_Q4,T6,T6_Q1,T6_Q2,T6_Q3,T6_Q4,T6_Q5,T6_Q6,T6_Q7,T6_Q8,T6_Q9,T6_Q10,T6_Q11,T6_Q12,T6_Q13,T6_Q14,T6_Q15,T6_Q16,T7,T7_Q1,T7_Q2,T7_Q3,T7_Q4,T7_Q5
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,25,0,0,1,0,59,1,1,0.92,0.92,0,0,1,1,1,1,0,0,0,0.5,0.5,..,60,1,1,0,0,1
Lao PDR,LAO,East Asia & Pacific,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,20,0,0,0,0,1,25,0,0,1,0,75,1,1,1,1,0,0,1,1,0,1,1,1,1,0.5,..,..,60,1,1,0,0,1
Latvia,LVA,Europe & Central Asia,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,1,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,60,1,1,0,0,1
Lebanon,LBN,Middle East & North Africa,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,40,1,0,1,0,0,75,1,0,1,1,60,0,1,0,1,1,0,0,0,0,0,54,0.71,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,20,1,0,0,0,0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,80,1,1,1,0,1,100,1,1,1,1,40,0,0,0,1,1,50,1,1,0,0,56,0.86,1,0,0,0,1,1,1,0,1,1,0,0,1,..,..,20,0,1,0,0,0
Liberia,LBR,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,75,1,1,0,1,80,1,1,0,1,1,0,0,0,0,0,73,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,..,0,0,0,0,0,0
Libya,LBY,Middle East & North Africa,Upper middle income (51),91,1,1,1,1,1,1,1,1,1,1,0,40,1,0,1,0,0,25,0,0,0,1,40,0,1,0,0,1,0,0,0,0,0,64,1,1,0,0,0,1,1,1,0,1,1,1,1,0.5,..,0.17,10,0.5,0,0,0,0
Lithuania,LTU,Europe & Central Asia,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,1,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,100,1,1,1,1,1
Luxembourg,LUX,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,25,0,0,1,0,93,1,1,1,1,1,1,1,1,0,1,1,1,1,1,..,1,60,1,1,0,0,1
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,100,1,1,1,1,72,1,1,1,1,0,0,1,1,0,1,1,0,1,0.8,..,1,80,1,1,1,0,1
Madagascar,MDG,Sub-Saharan Africa,Low income (29),91,1,1,1,1,1,1,1,1,1,1,0,100,1,1,1,1,1,50,1,1,0,0,40,0,0,0,1,1,0,0,0,0,0,53,1,1,0.5,0.5,0,0,1,1,0,1,0,0,0,1,1,..,70,0.5,1,0,1,1
Malawi,MWI,Sub-Saharan Africa,Low income (29),90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,1,0,0,1,1,25,0,1,0,0,68,0.57,1,0,0,0,1,1,1,0,1,1,1,1,1,..,..,60,1,1,0,1,0
Malaysia,MYS,East Asia & Pacific,Upper middle income (51),73,0,1,1,1,0,0,1,1,1,1,1,60,1,1,1,0,0,75,1,0,1,1,60,0,1,1,0,1,50,1,1,0,0,37,0.61,1,0,0,0,0,0,0,0,1,1,0,0,1,1,..,60,1,1,0,0,1
Maldives,MDV,South Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,40,1,0,1,0,0,75,1,1,0,1,60,1,0,0,1,1,50,0,0,1,1,62,0.61,1,0,0.05,0,0,1,1,0,1,1,1,1,1,..,..,80,1,1,1,0,1
Mali,MLI,Sub-Saharan Africa,Low income (29),64,0,0,1,1,1,0,1,1,1,1,0,80,1,0,1,1,1,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,47,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,..,0,0,0,0,0,0
Malta,MLT,Middle East & North Africa,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,25,0,0,1,0,72,1,1,0.22,0.23,0,1,1,1,0,1,1,1,0,1,1,1,100,1,1,1,1,1
Marshall Islands,MHL,East Asia & Pacific,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,50,1,0,..,..,..,100,1,1,1,1,40,0,0,0,1,1,0,0,0,0,0,46,0,0,..,..,0,0,0,0,0,1,1,1,1,1,1,..,20,1,0,0,0,0
Mauritania,MRT,Sub-Saharan Africa,Lower middle income (53),73,0,1,1,1,1,1,1,1,1,0,0,20,1,0,0,0,0,25,0,0,1,0,60,1,0,0,1,1,0,0,0,0,0,57,1,1,1,1,0,0,1,0,0,1,0,0,1,1,..,..,0,0,0,0,0,0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income (51),91,1,1,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,40,0,0,1,1,0,100,1,1,1,1,75,1,1,0,0.05,0,1,1,1,0,1,1,1,1,1,1,1,100,1,1,1,1,1
Mexico,MEX,Latin America & Caribbean,Upper middle income (51),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,78,0.86,1,1,1,0,0,1,1,0,1,1,1,1,1,..,..,80,1,1,1,1,0
"Micronesia, Fed. States",FSM,East Asia & Pacific,Lower middle income (53),100,1,1,..,1,1,1,1,1,1,1,1,75,1,0,..,1,1,25,1,0,0,0,40,0,0,0,1,1,0,0,0,0,0,46,0,0,..,..,0,0,0,0,0,1,1,1,1,1,1,..,0,0,0,0,0,0
Moldova,MDA,Europe & Central Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,25,0,0,1,0,71,1,1,1,1,1,0,1,1,1,1,0,0,0,1,..,..,40,1,1,0,0,0
Mongolia,MNG,East Asia & Pacific,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,1,0,0,80,1,1,0,1,1,75,0,1,1,1,73,1,1,1,1,0,0,1,1,0,1,1,1,0,1,..,1,60,1,1,0,0,1
Montenegro,MNE,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,0,0,0,0,0,73,1,1,1,1,1,1,1,1,1,0,0,0,0,1,..,1,60,1,1,0,0,1
Morocco,MAR,Middle East & North Africa,Lower middle income (53),91,1,1,1,1,1,1,1,1,1,1,0,40,1,0,1,0,0,75,1,0,1,1,60,1,1,0,0,1,50,0,0,1,1,67,1,1,1,1,0,1,1,1,0,1,0,0,0,1,..,1,70,0.5,1,0,1,1
Mozambique,MOZ,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,0,1,0,1,1,0,0,0,0,0,62,0.61,1,1,1,0,0,1,1,0,1,0,1,1,0.5,..,0.17,100,1,1,1,1,1
Myanmar,MMR,East Asia & Pacific,Lower middle income (53),91,1,0,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,1,0,0,40,0,0,0,1,1,0,0,0,0,0,54,1,1,1,1,0,0,0,0,0,1,1,0,1,..,..,..,0,0,0,0,0,0
Namibia,NAM,Sub-Saharan Africa,Upper middle income (51),91,1,1,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,60,1,0,0,1,1,50,1,1,0,0,85,0.86,1,1,1,0,1,1,1,0,1,1,1,1,1,..,..,80,1,1,1,0,1
Nepal,NPL,South Asia,Low income (29),100,1,1,..,1,1,1,1,1,1,1,1,60,1,0,1,0,1,100,1,1,1,1,20,0,0,0,1,0,0,0,0,0,0,32,0.53,1,0,0,0,0,0,0,0,0,1,1,0,..,..,1,80,1,1,0,1,1
Netherlands,NLD,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,0,1,1,93,1,1,1,1,0,1,1,1,1,1,1,1,1,1,..,..,80,1,1,1,1,0
New Zealand,NZL,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,93,1,1,1,1,1,0,1,1,1,1,1,1,1,1,..,..,80,1,1,1,0,1
Nicaragua,NIC,Latin America & Caribbean,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,1,1,0,1,1,100,1,1,1,1,65,0.86,1,0.6,0.62,0,0,1,1,0,1,1,1,0,1,..,..,80,1,1,1,1,0
Niger,NER,Sub-Saharan Africa,Low income (29),64,1,1,1,1,1,0,1,1,0,0,0,50,1,0,..,..,..,50,1,0,1,0,60,1,1,0,1,0,0,0,0,0,0,57,1,1,0.5,0.51,0,1,1,1,0,1,0,0,0,1,..,..,40,0,1,0,1,0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income (53),91,1,0,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,100,1,1,1,1,60,0,1,0,1,1,50,1,1,0,0,40,0.86,0.75,0,0,0,0,0,1,0,1,1,0,0,1,..,..,80,1,1,1,1,0
Norway,NOR,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,0,1,1,1,1,0,0,0,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,80,1,1,1,0,1
Oman,OMN,Middle East & North Africa,High income (56),55,1,0,0,1,0,0,1,1,1,1,0,40,1,0,1,0,0,25,0,0,0,1,40,0,0,0,1,1,0,0,0,0,0,50,0.51,1,0,0,0,0,1,1,0,0,0,1,1,0.5,1,1,40,0,1,0,0,1
Pakistan,PAK,South Asia,Lower middle income (53),73,1,0,0,1,1,1,1,0,1,1,1,40,1,0,1,0,0,50,0,0,1,1,40,0,0,0,1,1,0,0,0,0,0,26,0.86,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,..,100,1,1,1,1,1
Palau,PLW,East Asia & Pacific,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,50,1,0,..,..,..,50,1,0,0,1,40,0,0,0,1,1,0,0,0,0,0,46,0,0,..,..,0,0,0,0,0,1,1,1,1,1,1,..,20,1,0,0,0,0
Panama,PAN,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,80,1,1,0,1,1,50,1,1,0,0,67,1,1,1,1,0,0,1,1,0,1,0,1,1,0.5,0.5,..,100,1,1,1,1,1
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,75,1,0,1,1,20,0,0,0,1,0,25,1,0,0,0,42,0,0,..,..,0,0,1,1,0,1,0,0,1,1,..,..,20,1,0,0,0,0
Paraguay,PRY,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,75,1,1,1,0,87,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,..,60,1,1,0,1,0
Peru,PER,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,50,0,1,1,0,87,1,1,1,1,0,1,1,1,0,1,1,1,1,1,..,1,80,1,1,1,0,1
Philippines,PHL,East Asia & Pacific,Lower middle income (53),90,1,0,..,1,1,1,1,1,1,1,1,80,1,1,0,1,1,100,1,1,1,1,40,0,1,0,0,1,50,0,0,1,1,84,0.61,1,1,1,0,1,1,1,0,1,1,1,1,1,..,1,100,1,1,1,1,1
Poland,POL,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,1,1,0,1,1,50,0,1,1,0,82,1,1,1,1,1,0,1,1,0,1,1,1,1,0.5,..,..,80,1,1,1,0,1
Portugal,PRT,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,25,0,0,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,60,1,1,0,0,1
Puerto Rico (U.S.),PRI,Latin America & Caribbean,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,100,1,1,1,1,1,100,1,1,1,1,64,0.57,1,0,0,0,0,1,1,0,1,1,1,1,1,1,..,100,1,1,1,1,1
Qatar,QAT,Middle East & North Africa,High income (56),55,0,1,1,0,0,0,1,1,1,0,1,40,1,0,1,0,0,25,0,0,0,1,60,0,1,0,1,1,0,0,0,0,0,40,0.51,1,0,0,0,0,0,0,0,1,0,1,1,0.5,1,..,0,0,0,0,0,0
Romania,ROM,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,25,0,0,1,0,90,1,1,1,1,1,1,1,1,0,1,1,1,1,0.8,1,0.67,100,1,1,1,1,1
Russian Federation,RUS,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,1,0,100,1,1,1,1,1,0,0,0,0,0,68,1,1,1,1,1,0,1,1,1,1,0,0,0,0.5,..,..,0,0,0,0,0,0
Rwanda,RWA,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,60,1,0,0,1,1,25,0,1,0,0,63,0.86,1,0.5,0.52,0,0,1,0,0,1,1,1,1,1,..,..,60,1,1,0,1,0
Samoa,WSM,East Asia & Pacific,Upper middle income (51),90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,40,1,0,0,1,0,0,0,0,0,0,68,0.29,1,0,0.18,0,1,1,1,0,1,1,1,1,1,..,..,20,1,0,0,0,0
San Marino,SMR,Europe & Central Asia,High income (56),91,1,1,1,1,1,1,1,1,1,1,0,100,1,1,1,1,1,25,1,0,0,0,100,1,1,1,1,1,0,0,0,0,0,87,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,..,40,1,0,1,0,0
São Tomé and Príncipe,STP,Sub-Saharan Africa,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,40,0,0,0,1,1,0,0,0,0,0,50,1,1,1,1,0,0,1,0,0,0,0,0,1,1,..,..,60,1,1,0,1,0
Saudi Arabia,SAU,Middle East & North Africa,High income (56),36,0,0,0,0,0,0,1,1,1,1,0,40,1,0,1,0,0,25,0,0,0,1,40,0,0,0,1,1,50,1,1,0,0,16,0.71,1,0,0.04,0,0,0,0,0,0,0,0,0,0.5,..,0.17,20,1,0,0,0,0
Senegal,SEN,Sub-Saharan Africa,Low income (29),82,1,1,1,1,1,0,1,1,1,1,0,40,1,0,1,0,0,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,50,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,60,1,1,0,1,0
Serbia,SRB,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,60,0,1,0,1,1,50,0,0,1,1,93,1,1,1,1,1,1,1,1,0,1,1,1,1,1,..,1,60,1,1,0,0,1
Seychelles,SYC,Sub-Saharan Africa,High income (56),91,1,0,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,0,1,0,60,0,1,0,1,1,0,0,0,0,0,77,1,0.49,1,1,0,0,1,1,0,1,1,1,1,1,..,1,20,1,0,0,0,0
Sierra Leone,SLE,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,100,1,1,1,1,60,0,1,0,1,1,0,0,0,0,0,46,0.86,1,0,0,0,0,0,0,0,1,1,0,1,1,1,..,20,1,0,0,0,0
Singapore,SGP,East Asia & Pacific,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,0,0,0,0,0,67,1,1,0.5,0.55,1,0,0,0,0,1,1,1,1,1,..,1,60,1,1,0,0,1
Slovak Republic,SVK,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,50,0,0,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,80,1,1,1,0,1
Slovenia,SVN,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,0,1,0,1,1,25,0,0,1,0,93,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,..,100,1,1,1,1,1
Solomon Islands,SLB,East Asia & Pacific,Lower middle income (53),90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,20,0,0,0,1,0,0,0,0,0,0,30,0.86,0.37,0,0,0,0,0,0,0,0,1,0,1,1,..,..,20,1,0,0,0,0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,40,0,1,0,1,0,100,1,1,1,1,85,1,0.99,1,1,0,1,1,1,0,1,1,1,1,..,..,..,40,1,1,0,0,0
South Sudan,SSD,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,67,1,0,..,1,..,25,1,0,0,0,40,0,0,0,1,1,0,0,0,0,0,20,0.57,1,0,0,0,0,0,1,0,0,0,0,0,..,..,..,0,0,0,0,0,0
Spain,ESP,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,93,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,..,100,1,1,1,1,1
Sri Lanka,LKA,South Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,100,1,1,1,1,40,0,0,0,1,1,0,0,0,0,0,38,0.86,1,0,0,0,0,0,1,0,0,1,0,1,0.5,..,..,100,1,1,1,1,1
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,0,0,1,60,0,1,0,1,1,0,0,0,0,0,71,0.93,0.97,1,1,0,0,0,1,0,1,1,1,1,1,..,..,20,1,0,0,0,0
St. Lucia,LCA,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,1,0,0,1,1,0,0,0,0,0,86,0.93,0.97,1,1,0,1,1,1,0,1,1,1,1,1,1,..,80,1,1,0,1,1
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income (51),91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,60,0,1,0,1,1,0,0,0,0,0,63,0.93,1,0.75,0.75,0,0,0,1,0,1,1,0,1,1,1,..,20,1,0,0,0,0
Sudan,SDN,Sub-Saharan Africa,Lower middle income (53),36,0,0,1,0,0,0,1,1,1,0,0,40,1,0,1,0,0,50,0,1,1,0,60,0,1,0,1,1,0,0,0,0,0,35,0.57,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Suriname,SUR,Latin America & Caribbean,Upper middle income (51),91,1,1,1,1,1,1,1,0,1,1,1,100,1,1,1,1,1,50,1,0,1,0,60,0,1,0,1,1,0,0,0,0,0,42,0,0,..,..,0,0,0,0,0,1,1,1,1,1,..,..,20,1,0,0,0,0
Sweden,SWE,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,25,0,0,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,1,1,1,0,1
Switzerland,CHE,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,0,1,1,1,1,25,1,0,0,0,85,1,1,1,1,0,1,1,1,0,1,1,1,1,0.9,0.9,0.83,60,1,1,0,0,1
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income (53),64,1,1,1,0,0,0,1,1,1,0,1,40,1,0,1,0,0,25,0,0,0,1,40,0,0,0,1,1,0,0,0,0,0,33,1,1,0,0,0,0,1,0,0,0,0,0,0,1,..,1,0,0,0,0,0,0
"Taiwan, China",TWN,East Asia & Pacific,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,50,1,1,0,0,88,1,1,0,0.09,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1
Tajikistan,TJK,Europe & Central Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,80,1,1,0,1,1,25,0,0,1,0,75,1,1,1,1,1,1,1,1,1,1,0,0,0,0.5,..,..,20,1,0,0,0,0
Tanzania,TZA,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,60,1,1,1,0,0,50,1,0,1,0,80,1,1,0,1,1,25,1,0,0,0,86,0.86,1,1,1,0,1,1,1,0,1,1,1,1,1,1,..,60,0,1,0,1,1
Thailand,THA,East Asia & Pacific,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,80,0,1,1,1,1,0,0,0,0,0,57,0.92,1,0.5,0.5,0,0,1,1,0,1,1,0,0,1,..,..,60,1,1,0,1,0
Timor-Leste,TMP,East Asia & Pacific,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,0,0,0,0,0,76,0.86,1,1,1,0,0,1,1,0,1,1,1,1,..,..,..,40,1,1,0,0,0
Togo,TGO,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,0,1,0,40,1,0,0,0,1,0,0,0,0,0,80,1,1,0.5,0.51,0,1,1,1,0,1,1,1,1,1,1,..,60,0,1,0,1,1
Tonga,TON,East Asia & Pacific,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,20,1,0,0,0,0,50,1,0,0,1,40,0,1,0,1,0,0,0,0,0,0,42,0,0,..,..,0,0,0,0,0,1,1,1,1,1,..,..,20,1,0,0,0,0
Trinidad and Tobago,TTO,Latin America & Caribbean,High income (56),91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,0,1,1,1,64,1,1,0.33,0.33,0,0,1,0,0,1,1,1,1,1,1,..,20,1,0,0,0,0
Tunisia,TUN,Middle East & North Africa,Lower middle income (53),91,1,1,1,1,1,1,1,1,1,1,0,40,1,0,1,0,0,75,1,0,1,1,40,0,1,0,0,1,25,0,1,0,0,52,0.31,1,1,1,0,0,1,1,0,0,1,0,0,1,..,..,10,0.5,0,0,0,0
Turkey,TUR,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,60,0,1,0,1,1,0,0,0,0,0,70,1,1,1,1,0,1,1,1,1,0,1,0,0,0.8,..,..,100,1,1,1,1,1
Uganda,UGA,Sub-Saharan Africa,Low income (29),91,1,0,1,1,1,1,1,1,1,1,1,40,1,0,1,0,0,100,1,1,1,1,60,1,0,0,1,1,0,0,0,0,0,73,0.86,1,0,0.05,0,1,1,1,0,1,1,1,1,1,1,..,80,1,1,0,1,1
Ukraine,UKR,Europe & Central Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,25,0,0,1,0,60,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,..,60,1,1,0,0,1
United Arab Emirates,ARE,Middle East & North Africa,High income (56),45,0,0,1,1,0,0,1,1,1,0,0,40,1,0,1,0,0,50,1,0,0,1,60,0,1,0,1,1,50,1,1,0,0,20,0.46,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,..,0,0,0,0,0,0
United Kingdom,GBR,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,100,1,1,1,1,99,1,1,0.92,0.94,1,1,1,1,1,1,1,1,1,1,..,..,100,1,1,1,1,1
United States,USA,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,100,1,1,1,1,62,0,0,..,..,0,0,1,1,0,1,1,1,1,1,1,..,80,1,1,1,0,1
Uruguay,URY,Latin America & Caribbean,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,0,1,1,1,1,50,1,1,0,0,73,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,..,80,1,1,1,0,1
Uzbekistan,UZB,Europe & Central Asia,Lower middle income (53),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,80,1,1,0,1,1,0,0,0,0,0,51,1,1,0,0,1,0,1,1,0,1,1,0,0,0.5,..,0.17,0,0,0,0,0,0
Vanuatu,VUT,East Asia & Pacific,Lower middle income (53),100,1,1,..,1,1,1,1,1,1,1,1,75,1,1,..,0,1,50,1,0,0,1,40,1,0,0,1,0,25,0,0,1,0,52,0.86,0.99,0,0,0,0,0,1,0,0,1,1,1,1,1,..,20,1,0,0,0,0
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,80,1,1,0,1,1,0,0,0,0,0,70,1,1,0.67,0.69,0,0,1,1,0,1,1,1,1,0.5,..,..,100,1,1,1,1,1
Vietnam,VNM,East Asia & Pacific,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,1,0,80,1,1,0,1,1,25,0,0,1,0,64,1,1,1,1,0,1,1,1,0,1,1,0,0,0.5,..,0.17,60,1,1,0,0,1
